Dado A,Dado B,Dado C,tipo do dado
Luiz Miguel Barbosa,Android 4.0.1,Tecnólogo em irrigação e drenagem,0
Isabelly Castro,Android 2.3.1,Coveiro/Sepultador,0
Sra. Agatha Cunha,3570714643292576,+55 (061) 7767 4290,1
Kaique da Cunha,Android 2.3.2,Radialista,0
André Novaes,Android 4.4.4,Cirurgião dentista,0
João Lucas Novaes,Android 5.1.1,Feirante,0
Olivia Silveira,Android 2.3,Tradutor,0
João Pedro Azevedo,Android 2.3.4,Esteticista,0
Benjamin Santos,6525300171161281,61 8189-2409,1
Isabella da Rosa,2467470361680868,81 1540-2408,1
Sr. João Felipe Pereira,4395970603304,81 4959-1833,1
Maria Fernanda Pereira,Android 2.2.1,Diplomata,0
Sra. Ana Julia Campos,Android 4.0,Prático,0
Yasmin Fogaça,Android 2.3.7,Juiz de direito,0
Lorenzo Carvalho,Android 2.3.5,Flanelinha,0
Brenda Correia,4079036846564179,+55 (021) 9684 5673,1
Srta. Daniela Melo,Android 2.0,Tecelão,0
Marcos Vinicius Cardoso,Android 2.3.3,Corretor da bolsa de valores,0
Anthony Freitas,30001014676250,21 4372 5344,1
Maria Cecília Rocha,Android 3.1,Clap loader,0
Marcelo Campos,4341533524983,+55 81 4699 2576,1
Evelyn Caldeira,Android 4.0,Engenheiro mecânico,0
Vitor Hugo Santos,4003081118281699,0900 703 6210,1
Esther da Paz,3501459897659401,21 8917 6427,1
Thiago da Mata,4971705342142215864,(084) 6945-6450,1
Sr. Paulo da Cruz,4783035215219917,+55 (031) 1590 5748,1
Lucas Gabriel da Mota,213105231835133,84 7154 2794,1
Sr. Erick Silveira,Android 5.0.2,Assessor parlamentar,0
Sr. Pedro Moraes,Android 4.3.1,Digitador,0
Caroline Azevedo,Android 4.2.1,Roteirista,0
João Vitor Ferreira,Android 4.4.2,Engenheiro de controle e automação,0
Dr. Isaac Nascimento,Android 4.4.2,Faturista,0
Laura Carvalho,213180442302090,+55 51 9065 7671,1
Noah Farias,30503768608348,(011) 1280-1384,1
Paulo Gonçalves,180090397897060,+55 (084) 7333 9049,1
Luiz Gustavo da Mata,180010077103456,61 8208-5995,1
Isadora Costela,Android 11,Prefeito,0
Sarah Ferreira,Android 8.0.0,Co-piloto,0
Levi da Cruz,Android 5.0.1,Ortoptista,0
Davi Aragão,Android 1.6,Diretor de fotografia,0
Emanuella Duarte,2714341847168367,41 9808 5391,1
Davi Luiz Ramos,375439981565358,+55 31 0990 0157,1
Sophie Melo,Android 4.2.2,Radiooperador de vôo,0
Yasmin Cunha,3501861383518621,+55 (081) 0538-6699,1
Sr. Vicente Barros,30483830274546,41 6698-8286,1
Calebe Teixeira,Android 8.0.0,Seguidor de compras,0
Matheus Duarte,377161581870321,+55 81 0382 6963,1
Joaquim Araújo,3588249915122177,41 1471 9877,1
Enrico Ribeiro,4137395907443297,+55 (031) 9882-1076,1
Dr. Luigi da Rocha,Android 2.2,Vendedor,0
André Barros,Android 4.1.2,Jogador de boliche,0
Emanuel Nogueira,586860328614,41 9450 9801,1
Sr. Levi Rocha,Android 4.1.2,Neurologista,0
Ana Sophia Gonçalves,Android 8.0.0,Kite-surfer,0
Maria Clara Silva,2707252584923014,84 0563-2554,1
Emanuella Moraes,Android 3.2.2,Borracheiro,0
Ana Vitória Rocha,Android 3.2.4,Compositor,0
Paulo Duarte,Android 2.3.3,Técnico em radiologia,0
Benjamin Correia,Android 3.2.1,Aeroviário,0
Dra. Emanuella Porto,6520915607302491,+55 (021) 0633 9715,1
Sr. Vinicius Ferreira,Android 1.5,Intérprete,0
Erick Santos,3513797884877817,21 7108-9021,1
Ana Beatriz Aragão,Android 2.2.3,Implantodontista,0
Maria Fernanda Cavalcanti,Android 4.0.4,Líder comunitário,0
Rafael Duarte,Android 3.1,Torreiro/Torrista,0
Stella da Conceição,Android 8.1.0,Urbanista,0
João Vieira,Android 2.3.7,Músico,0
Rebeca Campos,Android 3.0,Engenheiro de minas,0
Marcela Pereira,4904617477282910698,+55 (061) 2223-6055,1
Isabelly Almeida,375521422897175,11 3968-5931,1
Agatha Nunes,3547895217300026,81 2421 0702,1
Isis Fogaça,Android 4.0.3,Embalador,0
Pedro Miguel Gomes,6569715612159296,84 9425 1581,1
Clara Mendes,Android 2.0.1,Técnico em segurança do trabalho,0
João Pedro Ramos,Android 1.6,Administrador de banco de dados DBA,0
Manuela Melo,6011930205555206,+55 51 7979 5046,1
Matheus Pires,Android 7.1.1,Sacoleira,0
Eduarda Pinto,Android 9,Corredor de atletismo,0
Heitor Mendes,3516758245266345,(021) 8870-5357,1
Valentina Gomes,Android 1.6,Economista doméstico,0
Carolina Rodrigues,4461860575937199,51 2316 6973,1
Maria Luiza Ferreira,Android 4.1.1,Balconista,0
Nicolas Pires,Android 6.0,Engenheiro cartográfico,0
Alexia Silva,Android 4.2.2,Urbanista,0
Nicolas da Mota,Android 4.0.2,Babá,0
Sophie Freitas,Android 3.2.5,Sapateiro,0
Isabel Aragão,180034334332641,+55 41 8593-3979,1
Melissa Rodrigues,Android 3.2.4,Auxiliar de reprografia,0
Ana Beatriz Nunes,213162796016229,+55 (061) 4805 3046,1
Murilo Vieira,Android 4.0.4,Engenheiro de petróleo,0
Sra. Bruna Monteiro,4604397683015327,11 3212-6168,1
Alice Castro,Android 4.1.1,Cobaia Médica,0
Maysa da Mota,Android 2.3.2,Oftalmologista,0
Gabrielly Gomes,Android 1.0,Somelier,0
Bernardo Cardoso,Android 1.1,Engenheiro mecânico,0
Lavínia Moura,Android 5.0,Cinematográfo,0
Yasmin Dias,4060042722231,+55 (084) 9045 0479,1
Maysa Pires,4903875912207,+55 61 0200 7656,1
Valentina Pereira,4369151212319527,0500 819 1691,1
Carolina Teixeira,Android 4.0,Ferroviário,0
Erick Nogueira,Android 1.5,Segurança particular,0
Enrico da Rocha,Android 3.2.4,Leiteiro,0
Renan Correia,Android 4.0.3,Inspetor,0
Miguel Moura,Android 2.3.1,Argumentista,0
Agatha das Neves,3530054395650534,0300-907-0250,1
Eduarda Ramos,Android 4.3.1,Regente,0
Paulo Moraes,2708530482413801,41 6319-8962,1
Maria Alice Barros,Android 4.1.2,Figurante,0
Otávio Jesus,3520219666627022,(084) 5768 2912,1
Fernando da Mota,Android 4.2.1,Mecanógrafo,0
Igor Rezende,Android 8.1.0,Mecânico de vôo,0
João Cardoso,Android 3.2.2,Cabo,0
Rafaela Farias,Android 1.5,Alfaiate,0
Dr. Gabriel Cardoso,Android 5.0.2,Psicopedagogo,0
Maria Julia Viana,3546027105911133,+55 21 1294 9262,1
Srta. Lara Vieira,4241325031909502,(041) 7391-6257,1
Diego Almeida,Android 2.3.1,Guitarrista,0
Natália Cunha,2589323495055809,84 8349-0256,1
Helena Dias,Android 4.1.1,Carnavalesco,0
Kevin Fogaça,Android 2.2.2,Profissional de reciclagem,0
Vinicius Novaes,4362951498973187,51 1729 6685,1
Marcos Vinicius da Mata,3553904659198467,+55 (021) 8583-1127,1
Theo Melo,4942256242738190295,(084) 0102-5129,1
Dr. Otávio Oliveira,Android 2.3.1,Navegador,0
Marcos Vinicius Silva,4363764097872489,+55 21 6847 8134,1
Vinicius Freitas,Android 2.3.6,Tenista,0
Emanuel Fogaça,4343628403035942828,+55 (084) 6214 5077,1
Rafael Teixeira,Android 2.2.2,Telefonista,0
Sra. Natália Martins,Android 6.0,Gestor público,0
Eduardo Aragão,3558667626012617,+55 (041) 5570 5665,1
Ana Lívia Nunes,4934581680086321,81 7270-2182,1
Laura Castro,Android 3.2.3,Historiador,0
Ana Júlia Oliveira,Android 4.2.2,Escoteiro,0
Luna Peixoto,Android 4.0.3,Optometrista,0
Sr. Enzo das Neves,4765219960246,(031) 2206 6047,1
Maria Alice Sales,Android 7.1,Peão de rodeiro,0
Bruna Novaes,Android 6.0.1,Atleta de nado sincronizado,0
Maria Luiza da Mata,Android 4.3,Polidor de produção,0
Marcelo Duarte,213143816354782,+55 (011) 7041-1025,1
Noah da Cunha,3586372334486544,51 9207 7470,1
Emanuelly Gonçalves,Android 4.3.1,Diretor de cinema,0
Luiz Felipe Alves,30372808219650,+55 (051) 2471 1671,1
Pietra Melo,676312931550,31 6306 2014,1
Maria Sophia Gonçalves,Android 2.3.7,Profissional de tecnologia de laticínios,0
Raul Azevedo,4744424005923,41 8897 1196,1
Dr. Davi Luiz das Neves,Android 2.3.1,Trompetista,0
Noah Souza,Android 4.4.3,Perito judicial,0
Maria Luiza Campos,Android 3.2.2,Gari,0
Dr. Cauã Carvalho,Android 2.3,Encanador,0
Sr. Arthur Duarte,2278476267002015,(011) 4825 7793,1
Vinicius Castro,Android 3.2,Fotógrafo,0
Vitor Gabriel Moreira,Android 2.3.6,Lutador de luta livre,0
Pedro Miguel Cunha,4280963789335904089,(011) 5510-6325,1
Srta. Sabrina Barbosa,Android 7.1.1,Sushiman,0
Eduardo Cardoso,Android 9,Chargista,0
Luiz Otávio da Mota,4400031834854,+55 21 3572 7320,1
Luiz Henrique Rodrigues,Android 11,Profissional de marketing,0
Isabella Cardoso,Android 4.0.3,Especialista em agronegócios,0
Lucas Teixeira,213187625544885,(084) 5639-7650,1
Caio da Luz,4089277618798,61 3304 5311,1
Gustavo Souza,2234249213765552,(061) 4458 8128,1
Ana Sophia Oliveira,4642189115332253,(031) 0291-7602,1
Lara Freitas,4933652309732974,(011) 8670-1377,1
Beatriz Pires,2270102914895167,+55 11 9397 4108,1
Benjamin Pereira,3516814426045667,81 9469-4730,1
Levi Barbosa,3514388634728382,+55 11 6384 9801,1
Lívia Martins,Android 7.1,Administrador de redes,0
Dr. Matheus Vieira,Android 9,Engenheiro acústico,0
Ana Vitória Barbosa,4846923632447580,(011) 0962 6375,1
Alícia da Cunha,4070373970092385097,+55 (084) 8323-8363,1
Maysa Correia,Android 3.2.5,Filósofo,0
Theo Ferreira,213176314533267,+55 61 3068-3406,1
Maria Julia Melo,30475015984626,(051) 4339-8617,1
Ryan da Paz,Android 3.2.3,Tabelião,0
Benjamin Teixeira,3549568171032947,(071) 3852 0080,1
Dr. Heitor Almeida,Android 11,Montador,0
Ian Dias,Android 5.1.1,Designer de jóia,0
Eduarda Moreira,Android 2.3.7,Saxofonista,0
Juan Aragão,30467418167404,+55 (011) 2455 6759,1
Maria da Rocha,Android 4.2.1,Lutador de karatê,0
Srta. Ana Lívia da Paz,3577217247411298,61 4611 0367,1
Sra. Maria Eduarda Lopes,4539268292266859142,84 1408 1818,1
Henrique Araújo,4862043033141648,41 5023 4677,1
Luigi Barros,579749579085,51 9710 2905,1
Sr. Lucas Gabriel Mendes,Android 2.3.7,Estoquista,0
Mirella Teixeira,3535614361729953,31 9305 9224,1
Stephany Costa,Android 3.2.1,Meredeira,0
Camila Gomes,Android 10,Presidente da República,0
Bruna da Paz,213157993376657,(011) 3924 2089,1
Gabriela Sales,180098587422060,+55 81 2220 5475,1
Nina Costela,3535091929018601,(041) 3344-1883,1
Kaique Monteiro,Android 4.2,Neurocirurgião,0
João Guilherme Monteiro,3531287708958496,(041) 7591-1267,1
Lavínia Rocha,Android 3.2.2,Grafologista,0
Pedro Cavalcanti,Android 9,Gestor de tecnologia da informação,0
Dra. Lorena Costa,676352987819,+55 21 7996-3203,1
Esther da Rosa,588103449736,+55 71 5417 8545,1
Isis Alves,4667335803816501022,+55 21 8745-4375,1
Diego da Cunha,30196759992183,+55 61 2547 7041,1
Emanuel Ferreira,4244796175827949,0900-499-7643,1
Ian Costa,Android 2.2.3,Engenheiro físico,0
Vitor Hugo da Costa,6588377519637069,84 2910-2338,1
Srta. Emanuella Silveira,Android 2.3.4,Velejador,0
Igor Pereira,Android 4.4.2,Diretor de fotografia,0
Alice Mendes,5483578591855283,(051) 3240-4118,1
Henrique Lima,Android 4.0,Petroleiro,0
Bárbara Dias,Android 4.4.3,Mecanógrafo,0
Bryan Nascimento,Android 8.0.0,Controlador de vôo,0
Stephany Martins,Android 2.1,Mototaxista,0
Evelyn Monteiro,4404199817974,(021) 7711 4288,1
Isabella Rodrigues,5184115305851498,+55 61 0299 3881,1
Miguel da Mota,Android 4.1.2,Almoxarife,0
Eloah Melo,343899343220761,(031) 8010-7483,1
Rafaela Cardoso,Android 1.5,Karateca,0
Dr. Pedro Cardoso,Android 3.2,Confeiteiro,0
Isaac Fernandes,3575692603674303,51 7166 6000,1
Giovanna Mendes,Android 2.3.6,Torreiro/Torrista,0
Maria Luiza Moraes,Android 2.3,Médico legista,0
Leonardo Ribeiro,3528655064498874,+55 31 5852-4031,1
Erick Duarte,30306972401702,+55 21 3750 4615,1
Sra. Gabrielly Castro,Android 2.3,Fundidor de placa de gesso,0
Davi Luiz Monteiro,4056679669801402165,+55 31 6111 3752,1
Sr. Vitor Hugo Mendes,6554204140648408,+55 (084) 1311 3663,1
Elisa Mendes,4787701371570635,(084) 0126 8260,1
Thales Lima,Android 3.2,Auxiliar administrativo,0
André da Cruz,Android 2.3.5,Operador de vídeo,0
Rafael Porto,Android 3.1,Podólogo,0
João Pedro Souza,4610126997156,+55 (031) 6761 7925,1
Luiza Moraes,6502665103424875,81 4335 3145,1
Evelyn Melo,Android 4.2.2,Arquiteto,0
Ana Correia,Android 11,Cantor,0
Lara Souza,6011264134177712,0300 505 0619,1
Srta. Stephany Vieira,Android 5.1.1,Judoca,0
Levi Cardoso,Android 2.2,Gerente de inovações ou novos negócios,0
Elisa Lima,3500860502693415,(084) 8158 9022,1
Dr. Enzo Cunha,4306869852632281,0900 172 5428,1
Sabrina Melo,6557371939083050,0800-846-0423,1
Felipe da Paz,2284646804596669,+55 (061) 0401 3817,1
João Pedro Cavalcanti,3506168445537382,+55 21 5928 1760,1
Dr. Davi Luiz Almeida,Android 4.2,Jogador de basquete,0
Esther Lima,5598743666207834,+55 (081) 8457-9417,1
Dra. Julia Rocha,6587782737089822,(021) 5796-9565,1
Calebe Martins,Android 2.0.1,Contador,0
Heloísa da Luz,2226336234803056,81 8547-8557,1
André Cardoso,Android 11,Ufólogo,0
Juan da Luz,Android 4.4.3,Jardineiro,0
Eduarda Pinto,4670977316429273,(061) 8109 9518,1
Miguel Pires,Android 4.2.1,Atleta de nado sincronizado,0
Ana Clara Costela,30005143169798,(031) 3418-9168,1
Sr. Davi Lucas Sales,Android 2.2.1,Naturólogo,0
Rafael Alves,Android 3.1,Angiologista,0
Cauã Novaes,Android 4.4.1,Quiropraxista,0
Dr. João Vitor Lima,6515914161558074,(021) 6304 6621,1
Natália Jesus,30458547223887,(071) 2698 6293,1
Thiago Costela,Android 7.1,Atleta de arremesso de peso,0
Srta. Esther Pinto,4516364523788,0800-546-1613,1
Vitor Gabriel Teixeira,Android 5.0,Tecnólogo em Ciências das plantas medicinais,0
Raul Cavalcanti,Android 4.1.2,Tecnólogo em esporte e lazer,0
Calebe Moraes,Android 2.3.2,Profissional de linguística,0
Kamilly Ribeiro,Android 7.1.2,Nutrologista,0
Lucas Gabriel Castro,Android 1.6,Ilustrador,0
Leandro da Cruz,Android 2.3.4,Profissional de logística,0
Lorenzo Melo,Android 2.0,Vistoriador de sinistros,0
Marina Jesus,Android 1.5,Meredeira,0
Helena Gonçalves,4621503876620721237,0300 830 4415,1
Maitê da Costa,Android 1.0,Arquivista,0
Thales Jesus,Android 3.2.2,Engenheiro agrônomo,0
Juliana Ferreira,2703056693724831,41 4279 9433,1
Maria Barbosa,213165550990604,+55 71 6295-0628,1
Maria Vitória Mendes,4125844705252,(041) 6863 3215,1
Isabelly Pires,3587424543014424,(084) 6137-3160,1
Maria Julia Gonçalves,Android 2.2,Técnico em desporto,0
Lívia da Paz,3521649961406483,+55 (031) 7448-4239,1
Lara Nunes,4526202896555199,0900-910-2513,1
Dr. Vicente Nascimento,Android 1.1,Jogador de hóquei,0
João Guilherme Porto,Android 4.3.1,Ambulante,0
Ana Beatriz Ramos,676325407465,+55 71 5167-3076,1
Maria Julia Lopes,180052119531740,+55 31 9871-1925,1
Bryan Moraes,4336532858275,0500-027-4730,1
Dr. Bernardo Caldeira,30430288043832,61 8427 4153,1
Sra. Milena Duarte,Android 4.2.1,Esgrimista,0
Carlos Eduardo da Rocha,4884501010542788100,+55 (041) 0366 6337,1
Laura Sales,Android 2.3.5,Baixista,0
Maria Fernanda Teixeira,Android 4.2.2,Radialista,0
Alexandre Peixoto,6011050394766884,+55 (051) 0124-0967,1
André Gonçalves,4312214580675574758,84 7542 7255,1
Rebeca Ribeiro,Android 9,Coveiro/Sepultador,0
Bryan Martins,3586346395458725,0900 338 4708,1
Kamilly da Rosa,4038744173596512,11 3653 5294,1
João Miguel Castro,5515529016661733,+55 21 4630-0282,1
Davi Luiz Pires,4904458419263230,(041) 7318 6634,1
Paulo Martins,Android 2.3.6,Necromaquiador,0
Maysa Ribeiro,4718477302566760,0900 418 6967,1
Emanuelly Dias,Android 2.1,Técnico tributarista,0
Antônio Almeida,Android 3.2.6,Geriatra,0
Eduardo Melo,Android 7.1.1,Velejador,0
Ana Sophia Nogueira,3512867804796321,+55 61 8567 9931,1
Ian da Rosa,4831740741246605,+55 (061) 4501-3947,1
Elisa da Cunha,Android 9,Musicoterapeuta,0
Camila da Luz,Android 2.1,Limpador de vidros,0
Augusto Mendes,Android 2.3.6,Perito criminal,0
Sra. Maria Julia da Conceição,180036430232849,0500 792 4553,1
Isis Sales,344778333736490,+55 41 9515-7022,1
Esther Araújo,Android 4.0.3,Encarregado de manutenção predial,0
Amanda Porto,Android 4.2.2,Odontologista estético,0
Luigi da Luz,4586693359245236,+55 (081) 5563 2154,1
Heloísa Jesus,Android 5.0.1,Lutador de jiu-jitsu,0
Fernando Novaes,5412099412843933,0800-302-0328,1
Ana Sophia Lima,Android 5.0.2,Barbeiro,0
Rodrigo Aragão,5341132428898785,84 5395-9714,1
Lorena Pires,Android 2.2.2,Petroleiro,0
Lucas Gabriel Barros,36524319786304,(084) 0806 8142,1
Nathan Porto,Android 1.0,Ilustrador,0
Lorena Cavalcanti,180090486332490,+55 (021) 5767-6518,1
Otávio Silva,Android 3.2.2,Químico farmacêutico,0
Mariana Melo,4635003349635,+55 51 4419 4987,1
Antônio da Cruz,180095660149644,+55 (041) 4447 8584,1
Bruna Martins,4559950604852302850,+55 71 3348 7114,1
Breno Oliveira,Android 3.2.5,Sapateiro,0
Luiz Gustavo Araújo,Android 2.3.6,Confeiteiro,0
Maria Fernanda da Luz,180055087481152,+55 (021) 3995 1591,1
Isabella Rezende,Android 4.1.2,Programador,0
Isadora Sales,6011727970521276,+55 (081) 1403 6068,1
Sr. João Felipe Moura,Android 2.1,Gastrônomo,0
Srta. Maria Julia Correia,Android 3.2.5,Sociólogo,0
Ryan Cardoso,5338168016010305,+55 (061) 6252-0287,1
Leandro Lima,213192570209146,(011) 9054 0883,1
Bárbara Souza,4337570714958,+55 41 7797-9623,1
Stephany Jesus,Android 10,Vendedor,0
João Guilherme Ferreira,Android 2.2.3,Juiz de direito,0
Kaique Duarte,Android 3.0,Mototaxista,0
Sophia Porto,4646803894338119,81 6571-9966,1
Ana Beatriz Moreira,Android 3.2.3,Timoneiro,0
Elisa Nogueira,Android 10,Cumim,0
Gabriela Porto,6011786195138068,+55 71 8171-0024,1
Igor Araújo,Android 5.0.1,Administrador de banco de dados DBA,0
Igor Cardoso,676385417164,(041) 7541 6755,1
Dr. Heitor Costa,Android 4.4.1,Notário,0
Carolina Sales,Android 1.6,Fiscal,0
Diego Caldeira,213199333311606,(031) 4549-9956,1
Julia Cunha,3508013458936899,84 7057 0724,1
Alice Duarte,Android 4.2,Pastilheiro,0
Matheus Caldeira,Android 2.3.3,Sonoplasta,0
Laís Ferreira,379565652180329,+55 (071) 8944-5723,1
Luiz Miguel Carvalho,4604536735272,+55 21 4516-0940,1
Otávio da Luz,676147376377,21 2620-1110,1
Maitê Viana,4758567292672304,61 0741-8954,1
Srta. Luana Lima,Android 2.3.2,Fresador,0
Caio Peixoto,Android 3.1,Profissional de tecnologia de laticínios,0
Vitor Hugo Araújo,30447454646370,(081) 9018 1212,1
Ana Sophia Dias,Android 1.1,Velejador,0
Ana Beatriz Correia,Android 2.1,Odontologista preventivo e social,0
Bruno Silveira,Android 10,Pedreiro,0
Marcela Nunes,30051817331314,(051) 1255 2727,1
Diego da Cruz,3503020070915370,+55 31 7566 5824,1
Heloísa Alves,Android 2.3.7,Contabilista,0
Renan Cunha,Android 4.3,Paginador,0
Maria Clara Campos,213193724929829,+55 (011) 4077 2393,1
Dr. Fernando Rodrigues,Android 5.1.1,Político,0
Davi Araújo,Android 2.3.5,Sacoleira,0
Sophia da Luz,4113383921282,81 7409 7495,1
Emanuella Barros,4589433296366597077,(071) 7831 4557,1
Sr. Fernando Caldeira,630420497400,+55 71 9133-3482,1
Olivia Fernandes,Android 6.0.1,Paisagista,0
Nicole Ferreira,Android 4.4.1,Agricultor,0
Sra. Maria Vitória Gomes,4379101955090395,+55 (051) 7019-0962,1
Bruna das Neves,Android 2.3.1,Nutrologista,0
Stephany Rocha,Android 7.1.1,Copeiro,0
Bruna Rocha,Android 7.1.2,Conferente de carga e descarga,0
Dr. Vitor Gabriel da Mata,30118741855740,+55 (061) 8127-1244,1
Vicente Teixeira,213179334513657,+55 (084) 2504 9598,1
Isabel da Cruz,Android 3.2.3,Grafologista,0
Sra. Joana Ribeiro,4723388526289308,+55 41 1142-8089,1
Beatriz Monteiro,30018309595524,+55 (071) 6648 3262,1
Letícia Pires,4200077785151081011,+55 71 8640-9529,1
Marina da Cruz,Android 4.1,Manobrista,0
Srta. Camila Duarte,Android 4.1.2,Petroleiro,0
Dr. Diego Pereira,3580764316899171,+55 31 3250-8068,1
Daniela Santos,Android 4.4.2,Educador,0
Brenda Oliveira,4756529110200,(011) 8475-8559,1
João Miguel Silva,Android 4.3,Protético dentário,0
Igor Porto,Android 4.4,Engenheiro de processos,0
Diego Caldeira,4889001525532582,+55 51 6482 5791,1
Stella Almeida,180045230381250,71 8651-0581,1
Matheus Gomes,Android 4.4.2,Gestor de tecnologia da informação,0
Lorena Novaes,371229893587440,+55 (071) 2890 5721,1
Benjamin Nunes,3572416082573957,(081) 2846-2908,1
Dra. Laís Fernandes,Android 4.2,Gerente de banco,0
Isis Cavalcanti,Android 8.0.0,Guardador de veículos,0
Agatha Oliveira,Android 7.1.1,Metalúrgico,0
Pedro Lucas da Luz,Android 1.0,Borracheiro,0
Isabella Silveira,30063767031885,61 6726-5697,1
Dra. Ana Lívia Cunha,3507999269674508,+55 (021) 8543 6854,1
Thiago Caldeira,Android 2.0.1,Bedel,0
Julia Lima,4341821923248652517,(071) 7994-2239,1
Maria Clara Correia,343602334523015,71 0803-8834,1
Nathan Rodrigues,Android 6.0.1,Meredeira,0
Dra. Maria Luiza Martins,4374512842535530,+55 81 7665-6963,1
Luiz Henrique da Cruz,30437735429332,+55 61 5118-5842,1
Bryan Lima,Android 5.0.1,Atuário,0
Ana Carolina Campos,3594189037598601,61 8981-4848,1
Dra. Ana Júlia da Mota,Android 4.4.1,Lavador de veículos,0
Luiz Henrique Lopes,Android 7.1.1,Gari,0
Yasmin da Mota,Android 1.1,Engenheiro de produção agroindustrial,0
Heitor Campos,Android 2.3.1,Diplomata,0
Alice Vieira,6579696904595595,0800-729-9730,1
Levi Aragão,6011432785771170,0500-636-7541,1
Bruno da Paz,180081667000808,+55 11 8324 7721,1
Nina Souza,180076830427151,+55 31 0017 6939,1
João Felipe das Neves,4647247727874941,+55 (031) 4208 7663,1
Dr. Enzo Porto,36150160014925,+55 71 7001-3725,1
Milena Nogueira,Android 4.4.2,Assessor parlamentar,0
Samuel Porto,6516414501194705,71 5278 4299,1
Srta. Emanuella Dias,342711438065947,+55 41 0556-5146,1
Dra. Ana Luiza Viana,Android 3.2.3,Técnico em rede,0
João Gonçalves,5443674842796100,81 2793 9281,1
Yuri Costela,Android 5.0.1,Operador de telemarketing,0
Emanuelly da Mota,4139663952362193,71 3523 5629,1
Bernardo Campos,4877313743038971127,(071) 3281 7015,1
Noah Costa,Android 1.5,Especialista em agronegócios,0
Luana Rocha,180019389659436,+55 51 5555 0696,1
Marcela Alves,4233353170481528435,+55 21 1392-9288,1
Julia da Mota,2657015081074122,+55 (081) 3081-2447,1
Ana Julia Ribeiro,180099218318651,21 1465-6204,1
Sr. Benjamin Monteiro,3589110417844594,+55 (071) 7424 9222,1
Dra. Rafaela da Paz,6011956210583602,11 6236-6830,1
Dr. Yuri Teixeira,373036073250964,31 7918-9020,1
Diogo da Paz,4461575758156,31 0570-6014,1
Srta. Emanuelly Cardoso,4528859750787112992,+55 (031) 5479-2401,1
Luiz Felipe Freitas,30137016393435,+55 11 7131 6557,1
Sr. Theo Caldeira,180064142125564,0800-537-5729,1
Srta. Raquel Novaes,4368666642150898832,51 1023 4697,1
Nina da Mata,4010365381259289,+55 (031) 1457-6760,1
Sr. Anthony Peixoto,Android 10,Impressor,0
Dra. Cecília Santos,4008052938364069,41 4624 9583,1
Vitor da Mata,Android 2.3.6,Operador de telemarketing,0
Fernando Costela,6545669907208350,0900-551-9329,1
João Farias,Android 3.2.6,Confeiteiro,0
Sr. Lucas Gabriel Nunes,30288171554822,51 9727 7391,1
Rafaela Jesus,Android 4.0,Tecnólogo em recursos pesqueiros,0
Raul das Neves,5237017796492088,+55 (081) 2255-8002,1
Dr. Isaac Fernandes,4290577870483618957,(084) 2255 8273,1
João Felipe Barbosa,5259770178966904,+55 (061) 2834 9111,1
Felipe Dias,3572792167977739,84 0221 1230,1
Bruna Nogueira,Android 3.2.1,Quitandeiro,0
Isabella da Conceição,4831925319794,41 9748 3492,1
Maria Clara Nunes,2262040035250674,31 5479 3116,1
Dra. Júlia Cardoso,Android 11,Modelo,0
João Lopes,Android 5.1.1,Marceneiro,0
Juan Martins,2249678733048516,+55 (011) 7160 4527,1
Srta. Maria Eduarda da Cunha,Android 8.1.0,Torneiro mecânico,0
Leonardo Moura,30042202668832,(031) 2034 6069,1
Sra. Isabel Rezende,6011125604118199,+55 61 3432-5172,1
Ana Clara da Rosa,Android 5.1,Webdesigner,0
Srta. Vitória Costela,Android 4.1.1,Frentista,0
Ana Laura Oliveira,Android 5.1.1,Borracheiro,0
Bernardo Viana,Android 2.3.1,Analista de sistemas,0
Vinicius Barbosa,375467338083627,+55 31 3885 8228,1
Srta. Elisa Pires,Android 5.1,Professor,0
Enzo Gabriel da Luz,Android 5.1.1,Carnavalesco,0
Alícia da Cruz,Android 5.0.2,Militar da Aeronáutica,0
Rafaela Novaes,213157650143747,0500 754 1223,1
Sra. Cecília Pereira,Android 11,Empresário,0
Lorena Araújo,Android 1.6,Coach,0
Daniela Moreira,38719881021993,51 9650 6046,1
Paulo Viana,Android 7.0,Percursionista,0
Bruno da Mota,6011533097118420,0900 653 0130,1
Sr. Bernardo Barros,Android 4.3,Cirurgião bucal,0
Cauê Monteiro,Android 4.0.1,Ciclista,0
Luiz Otávio Fogaça,Android 1.6,General,0
Pedro Farias,Android 2.3.1,Caminhoneiro,0
Vitor Cavalcanti,Android 7.1,Agricultor,0
Leonardo Moreira,4732913667641477,0300 251 8382,1
Miguel Barros,3593004819595900,0900 785 7182,1
Davi Lucas Rezende,Android 4.4,Jogador de basquete,0
Nina das Neves,Android 7.1.1,Engenheiro de projetos,0
Kevin da Luz,6011217204801819,0300-101-6809,1
Amanda Correia,3507150084780050,+55 (061) 0999-4519,1
Valentina Alves,Android 2.2,Presidente da República,0
Samuel Ramos,343068677634936,+55 21 9699 2213,1
Nicole Sales,Android 2.0.1,Profissional de reciclagem,0
Dra. Eloah Peixoto,6579785031551371,+55 (031) 4176 4441,1
Beatriz Martins,Android 2.3.3,Aviador,0
Ryan da Cruz,Android 4.2.2,Microfonista,0
Emanuella Correia,Android 4.0.4,Chefe de cozinha,0
Dr. Ryan Jesus,349014052406940,(084) 6635 8405,1
