Dado A,Dado B,Dado C,tipo do dado
Erick Novaes,Android 2.3,Paramédico,0
Luiza Freitas,Android 4.1.2,Corretor de imóveis,0
João Vitor Rocha,4171689777165155,0800-772-3681,1
Heloísa Carvalho,30404433057039,(011) 6472 0797,1
André da Cruz,Android 3.2.5,Musicoterapeuta,0
Nicole Moraes,Android 3.0,Antropólogo,0
Pedro da Luz,30106460961435,81 7328 6341,1
Olivia Aragão,Android 3.2.5,Judoca,0
Calebe Fogaça,Android 4.3,Capelão,0
Antônio Martins,630416896243,+55 (071) 7255 3617,1
Maysa Pinto,Android 2.3.7,Profissional de hotelaria,0
Lavínia Rezende,Android 1.1,Profissional de manutenção industrial,0
João Guilherme Caldeira,4340288115922,(041) 7978-1885,1
Sr. Cauê Azevedo,Android 2.3.5,Cientista da informação e documentação,0
Emilly Peixoto,3555142381324279,51 7739 0473,1
Eduardo Freitas,Android 7.0,Ginasta artística,0
Davi Lucca Duarte,Android 4.0.1,Médico,0
Brenda Cardoso,Android 4.4.1,Oficial de justiça,0
Brenda Cardoso,2261861689547763,+55 21 2073 8226,1
Daniela Duarte,180072146801148,81 4644 8435,1
Ana Julia Cardoso,Android 7.1,Tesoureiro,0
Pedro Miguel Lopes,4334023246161153,+55 71 1208-1964,1
Pedro Miguel Peixoto,Android 4.0.4,Astrólogo,0
Srta. Maria Alice Pires,3502626706799995,41 2986 2108,1
Sra. Maria Vitória Araújo,3537728599235084,+55 81 5086 4958,1
Beatriz da Costa,Android 2.2,Porteiro,0
Benjamin Fogaça,Android 2.3.1,Paisagista,0
Sra. Evelyn Dias,Android 4.4.3,Engenheiro mecatrônico,0
Juliana Duarte,3560392002628714,+55 (021) 0750-3949,1
Emanuel Gomes,Android 3.2.2,Otorrinolaringologista,0
Sr. Enrico Carvalho,36171832428707,71 5157-8809,1
Lorenzo Nunes,Android 4.3.1,Letrista,0
Lucas Gabriel Ramos,Android 5.1,Bioquímico,0
Thiago Rezende,3586123974554475,+55 71 8935 9798,1
Luiz Felipe Martins,Android 2.2.2,Líder comunitário,0
Catarina Castro,Android 5.1.1,Borracheiro,0
Yasmin da Rocha,Android 3.2.6,Gravurista,0
Ana Clara Santos,3531626546183850,(041) 5162 1071,1
Srta. Ana Lívia Silveira,Android 5.1.1,Assistente de câmera,0
Renan Rocha,Android 4.0.3,Repórter,0
João Costela,345939321450689,+55 11 6120-2798,1
Luiz Otávio da Conceição,Android 4.0.2,Meeiro,0
Marcela Novaes,Android 4.2,Projetista mecânico,0
Francisco Lopes,3556579562193511,51 0364 5363,1
Eloah Pereira,30268722817696,51 2231 9325,1
Sra. Raquel da Rosa,Android 1.5,Administrador de redes,0
Laura Teixeira,374278516804036,+55 (041) 6388 7167,1
Rafael Cunha,Android 3.2,Perfusionista,0
Sr. Vitor Gabriel Carvalho,Android 2.3.5,Seguidor de compras,0
Dra. Julia Correia,Android 3.1,Feirante,0
Laís Moreira,Android 6.0,Peão de rodeiro,0
Isabel Viana,Android 8.1.0,Governador,0
Pedro Henrique Monteiro,503881839651,0900-877-7498,1
Sr. Leonardo da Mata,4618551959277011,(011) 5187 4285,1
Anthony Martins,Android 1.5,Penhorista,0
Stephany da Paz,Android 7.0,Profissional de rádio e tv,0
Carlos Eduardo da Rocha,Android 7.1.1,Lavador,0
Sr. Marcelo Cavalcanti,38521332764175,51 8672 2203,1
João Gabriel Cavalcanti,Android 9,Médico nuclear,0
Dr. Cauê Fogaça,Android 5.1.1,Peão de rodeiro,0
Nina Teixeira,3524415657408093,+55 11 8261 8483,1
Davi Aragão,Android 4.4.4,Tatuador,0
Thales Freitas,4088019999479907,(081) 0208-1980,1
Sophia Lopes,30076405785233,0800 301 7212,1
Maria Eduarda das Neves,Android 3.2.1,Skatista,0
Catarina da Mata,Android 3.2.2,Aeromoça,0
Lorena Jesus,3549700391549919,(084) 2351 5518,1
Sra. Olivia Teixeira,3560560711870484,+55 51 8131 6254,1
Anthony da Mata,Android 4.4.3,Químico,0
Vitória Moraes,Android 5.0,Meeiro,0
Stephany Correia,3580843677582509,+55 51 0102 9390,1
Luiz Otávio Freitas,6011702697213424,0500-011-5823,1
Pedro Henrique Cardoso,4267225517448950,0500-171-3992,1
Luiz Henrique Pereira,Android 2.3.1,Empregado doméstico,0
Mariane Pinto,213125980920266,(081) 5581 0679,1
Lucca Costa,Android 4.0.4,Engenheiro aeronáutico,0
Sabrina Porto,Android 4.4.2,Remador,0
Letícia Rocha,Android 2.3.5,Flanelinha,0
Pedro Costela,Android 7.1,Modelista,0
Melissa Rodrigues,2413279019527180,(041) 4664 5458,1
Nicolas Lopes,213150534639980,71 2036-8395,1
Fernando Caldeira,Android 2.1,Argumentista,0
Leonardo da Mata,3502076909129808,+55 (081) 1802 4033,1
Alícia Lopes,Android 4.0.1,Arranjador musical,0
Stephany da Cunha,6011067908676433,+55 (061) 6857 3346,1
Joaquim Sales,4247897754951,61 8713-1755,1
João Felipe Teixeira,Android 6.0.1,Médico nuclear,0
Ian da Cruz,Android 5.1,Fundidor de placa de gesso,0
Davi da Cunha,36946264837255,(061) 5763-8890,1
Sr. Bernardo Moura,6557305299777950,61 3314 3134,1
Catarina da Mota,Android 7.0,Contador,0
Eloah Freitas,Android 6.0.1,Cameraman,0
Joaquim Moura,4669187926310289755,+55 (081) 4997-5264,1
Gustavo Cunha,Android 4.3.1,Geofísico,0
Luiz Otávio Farias,4389700868143254,+55 (041) 4064 3383,1
Pedro Miguel Carvalho,Android 4.2.2,Patologista oral,0
Dra. Raquel Barbosa,Android 5.1.1,Letrista,0
Maria Fernanda Costela,180020068820778,(011) 7771 1991,1
Pedro Lucas Freitas,2230740040581364,+55 11 2897 7217,1
Fernando Mendes,6548505916297959,21 6769-4132,1
Sra. Sabrina Gomes,5355170745411224,11 0270-3042,1
Caroline Gonçalves,4629309087817,+55 81 2265 1006,1
Ryan Duarte,Android 2.2.2,Senador,0
Dr. Fernando Novaes,213170644428108,31 4354 6650,1
Alícia Caldeira,502080341451,0500 299 5180,1
Nicole Campos,3503652261924926,(041) 2620 0003,1
Emanuel da Cunha,3598574589170667,31 7096-4924,1
João Felipe Jesus,Android 5.0,Cartógrafo,0
Ana Laura Almeida,Android 4.1,Separador,0
Sra. Bruna Moreira,578640196049,+55 71 1855 7237,1
Mariana Aragão,Android 4.0.1,Obstetra,0
Vitor Gabriel Ribeiro,344429194946501,+55 (081) 0764-4759,1
Kamilly Araújo,Android 3.2.5,Cenógrafo,0
Sarah Silveira,3550082204279885,31 8483-4269,1
Clarice Araújo,38815523243241,(071) 0038 8933,1
Sra. Maria Fernanda da Mata,Android 2.0.1,Porteiro,0
Laura Fernandes,6549066863211369,(081) 9216 6018,1
Mariana Santos,2260512089049691,+55 11 2408-8022,1
Luiza Costa,3513282135342085,(031) 5502-3244,1
Ana Vitória Vieira,6011999318707509,21 0317 0739,1
João Pedro Lopes,Android 4.3.1,Feirante,0
Sra. Letícia Martins,4094120383944258,(071) 7826-8933,1
Daniela Moreira,Android 4.4.1,Professor,0
Juliana Cavalcanti,4152412209596902,+55 (081) 2563-2752,1
Kaique Dias,Android 5.0.2,Tabelião,0
Mariane Duarte,180074746802153,21 6494-5374,1
Isaac Ribeiro,Android 11,Acompanhante,0
Maria Fernanda Aragão,676169100903,81 4807 7386,1
Cauã Pires,Android 4.4.4,Agente funerário,0
Kamilly Dias,Android 3.2.1,Arranjador musical,0
Sra. Eduarda Nogueira,Android 4.1.1,Maquinista,0
Isabella Cavalcanti,Android 3.2,Enfermeiro,0
Sra. Marcela Moraes,4044622011207,51 2549 1361,1
Srta. Alícia Azevedo,3554857913987555,(021) 3278-9738,1
Agatha Costela,6011264131974525,+55 (011) 3119 0929,1
Sra. Kamilly Aragão,Android 7.1.1,Profissional de informática,0
Luiz Felipe Teixeira,Android 4.4,Gagsman,0
Rafael Almeida,4375613078877791,61 1304-4901,1
Dr. Diego Teixeira,Android 4.3.1,Técnico em taquigrafia,0
Sophie da Luz,Android 4.0.1,Governador,0
André Rezende,Android 1.0,Homeopata,0
Sr. Marcos Vinicius Moreira,Android 3.2.2,Maquiador,0
Luiz Miguel Fogaça,676255558519,+55 84 0418-7203,1
Pedro Miguel Pires,Android 2.3.5,Navegador,0
Catarina Lima,6597151204303371,+55 (021) 4299-0411,1
Sra. Caroline Nogueira,Android 2.3.7,Implantodontista,0
Sra. Kamilly Gonçalves,Android 4.3.1,Engenheiro industrial,0
Thomas Costa,4433503312281,+55 41 8316-4541,1
Lorena Teixeira,4184631276165422,0800 254 5376,1
Dr. Benício Cardoso,Android 2.0,Tecnólogo em produção moveleira,0
Ana Júlia Oliveira,Android 7.1,Auditor,0
Luiz Henrique Monteiro,Android 2.3.4,Coronel,0
João Guilherme Moreira,378761220133673,+55 (081) 6697-7720,1
Sra. Giovanna Nunes,4586383895129,0800 137 1398,1
Sra. Lorena Costela,4444781544012868,11 3939-9417,1
Mirella Ribeiro,341982442096043,+55 61 5786 1424,1
Ryan Costela,4490328540614771755,(011) 8738-7607,1
Paulo Moreira,6509018687163480,+55 (051) 0012 2337,1
Pedro Miguel Martins,Android 4.4,Engenheiro agrícola,0
Sophie Cavalcanti,3570185227990788,(051) 3452-1304,1
Ian Castro,4077042448762171,+55 71 3437-6352,1
Emanuel Oliveira,Android 2.3,Representante comercial,0
Sr. Lorenzo Campos,Android 2.2.3,Leiteiro,0
João Miguel Campos,6011410366778327,(041) 1948-4490,1
Yuri Viana,Android 4.3.1,Gourmet,0
Francisco da Mata,Android 4.4,Seguidor de compras,0
Cauê Azevedo,3524454438558363,+55 41 2083 2126,1
Giovanna Costa,Android 1.5,Encarregado de manutenção predial,0
Levi Lima,4232253341572201512,+55 81 7681-3344,1
Alexandre Moreira,3552662780108158,+55 (084) 2664 2253,1
André Castro,Android 2.2.3,Instrutor,0
Danilo Silva,Android 2.3.3,Alfaiate,0
Natália Pires,Android 4.2.2,Revisor,0
Camila Pereira,3578199927907135,0800 495 4584,1
Emilly da Rocha,4986021069343992778,+55 (021) 2924 5049,1
Marcelo Ramos,6011651409431297,+55 31 8512-3811,1
Ana Luiza Farias,6011225967457919,(011) 5419 5292,1
Dr. Fernando Lima,Android 2.2.2,Assistente de produção,0
Vitor Cunha,Android 5.0.2,Lamboteiro,0
Isabelly Cardoso,Android 2.2.3,Mãe social,0
Matheus Melo,Android 4.0,Protético dentário,0
Natália Santos,Android 7.1.2,Operador de vídeo,0
Isadora Caldeira,3505414822801384,(071) 4381-8962,1
Raul Barros,Android 7.1.1,Guardador de veículos,0
Sr. Rafael Rodrigues,Android 4.4.4,Naturólogo,0
Dr. Davi Lucca Melo,6011919798931064,(071) 2225-5079,1
Davi Costa,5592816288859053,+55 31 9545 7973,1
Ana Carolina Costela,Android 3.1,Cantor,0
Gabriel da Paz,Android 5.0,Gestor de qualidade,0
Elisa Porto,Android 2.2.3,Vigilante noturno/diurno,0
Davi Lucas Ferreira,Android 4.1,Economista,0
Srta. Maria Vitória da Rocha,4809929400304808546,31 8450-5688,1
Otávio Moura,Android 5.1.1,Costureira,0
Rafaela Farias,Android 4.1,Engenheiro naval,0
João Silveira,2381495437385484,84 8736 1280,1
Sofia Santos,Android 2.0,Policial militar,0
Luiz Fernando Ramos,Android 2.2.2,Musicoterapeuta,0
Enrico Moreira,Android 3.0,Professor,0
Igor Aragão,Android 1.1,Consultor de radiestesia,0
João Lucas Costa,4461969238054,+55 (084) 7339 3505,1
Dr. Davi Lucas Rezende,Android 6.0,Somelier,0
Dra. Alice da Cunha,Android 3.2.2,Hematologista,0
Theo das Neves,342701335479077,61 7114 1016,1
Ana Vitória Monteiro,Android 3.2.6,Geofísico,0
Sr. João Felipe Ferreira,Android 4.0.2,Encarregado de manutenção predial,0
Isis Santos,4739795216162607,+55 84 9161 9595,1
Isis da Costa,3598656097382817,+55 (081) 1695 2051,1
Sr. João Lucas Correia,Android 5.0.2,Apontador de mão-de-obra,0
Laís Ramos,3519097408256034,+55 (041) 4153-8410,1
Srta. Nina da Conceição,Android 4.4.1,Cadista,0
Srta. Raquel da Cruz,Android 7.1.1,Engenheiro físico,0
Alícia Rodrigues,4906607351779433,0800-541-5222,1
Srta. Mirella Souza,Android 3.2.1,Aeromoça,0
Enzo Gabriel Farias,Android 4.4.1,Cerimonialista,0
Sofia Ferreira,Android 6.0,Peão de rodeiro,0
Luna Martins,180061724484369,61 3335 2160,1
Giovanna da Cunha,3586050853173392,+55 51 7909 3801,1
Davi da Cunha,3561242153156370,+55 (081) 6846 7273,1
Alexia Duarte,379956796746226,+55 41 2286-6276,1
Sra. Bárbara Rodrigues,3501333971740280,+55 61 7372-0700,1
Theo Silveira,Android 3.2.5,Mensageiro,0
Nathan Nascimento,3537483912315078,+55 (011) 7555-7746,1
Davi Luiz Costela,Android 4.4,Gravurista,0
Natália Novaes,3595146896062375,+55 84 3624-2234,1
Maysa Silva,4063549009219,+55 (031) 1434-9816,1
Alana Fogaça,Android 4.4.1,Chargista,0
Srta. Laís Martins,3509840483518626,61 5810-4942,1
Maria Luiza Cardoso,Android 1.0,Cobrador de ônibus,0
Davi Lucca Moura,4624531139791,+55 (051) 5051 5154,1
Antônio Vieira,Android 1.6,Escoteiro,0
Srta. Laís Campos,2298341367424277,81 2629-5274,1
Giovanna Ramos,340221416152446,+55 31 4533 4684,1
Cecília da Cunha,Android 2.2.2,Odontologista preventivo e social,0
Daniel das Neves,4941955040585936927,+55 (071) 2756 1681,1
Bruna Rocha,3597309772702591,+55 84 6952-9486,1
Sofia Ramos,Android 4.4.4,Assistente social,0
Alexia Moraes,3536521545468730,+55 (051) 7158-4402,1
Isadora Mendes,3523424378110609,71 0002-4549,1
Giovanna Lima,Android 4.2,Cinematográfo,0
Antônio Farias,Android 3.1,Pizzaiolo,0
Letícia Novaes,3519189957054082,+55 (021) 9819-2055,1
Ana Vitória Porto,Android 4.1.1,Filósofo,0
Melissa Carvalho,213138729416017,0800 303 1988,1
Marcela Moraes,Android 5.1.1,Lutador de jiu-jitsu,0
Luiz Felipe Cunha,2284907420120536,+55 (081) 9198-3741,1
Lívia Nogueira,Android 4.0.2,Protético dentário,0
Srta. Sophia da Mata,Android 2.3.3,Diretor de fotografia,0
Otávio Novaes,4780398805464548,+55 21 0018-1339,1
Luiz Gustavo Duarte,6011594893790333,(071) 0555-4174,1
Dr. Daniel Alves,Android 3.1,Cartunista,0
Juan da Conceição,6011879998147038,31 3174-2264,1
Vitor Lopes,4148641765055,(081) 6359-3785,1
Laís Ferreira,4866812226504,0800 675 1057,1
Sr. Benjamin Pinto,4862949857201583,+55 (051) 6160-9199,1
Srta. Lívia Ferreira,6501735418176030,21 0615 5628,1
Luiz Gustavo Rocha,Android 6.0.1,Agrônomo,0
Maria Luiza Almeida,060485368009,(011) 6207-2177,1
Caio Alves,Android 3.2.3,Regente,0
Eloah Pereira,4474177815374543321,(084) 5200-1695,1
Dra. Maitê Silva,Android 2.0.1,Atuário,0
Fernanda Moura,Android 4.0,Telegrafista,0
Maria Correia,4499045781155952,(021) 6307-9479,1
Sra. Natália da Paz,180067887088251,+55 (084) 2308-8431,1
Isabelly Moreira,Android 4.4.4,Lutador de jiu-jitsu,0
Dr. Renan Barbosa,4267833212030385,+55 (041) 7191-5511,1
Maria Eduarda Araújo,30308803684886,(051) 9899-5662,1
João Miguel Cardoso,213198617410134,0300 440 7924,1
Levi Almeida,Android 8.1.0,Economista,0
Leandro Teixeira,Android 3.2.4,Reumatologista,0
Augusto Cavalcanti,Android 3.2.6,Vereador,0
Sra. Ana Carolina Porto,Android 2.1,Headhunter,0
Dr. Fernando da Paz,4288502122572,51 2760 5432,1
Caio Lopes,2238948516117637,+55 31 5582 3555,1
Letícia Fogaça,Android 4.4.4,Maestro,0
Luiz Henrique Campos,Android 4.0.4,Ascensorista,0
Kevin da Rosa,Android 1.1,Técnico em segurança do trabalho,0
Laura Cavalcanti,Android 2.2.1,Aviador,0
Benício Cardoso,Android 5.1,Skatista,0
Beatriz Martins,349709286439357,(084) 1136 5295,1
Anthony Martins,180023722602350,84 5312 6960,1
Natália Araújo,6011088203709315,+55 (041) 7571-9629,1
Dr. Fernando Porto,2698703605104480,+55 21 4979-7686,1
Enzo Ramos,Android 3.2.6,Mecânico,0
Francisco Aragão,4603693802575625510,11 7269 3193,1
Marcela Silveira,30117409881667,(051) 5833-3655,1
Pietra Freitas,Android 1.6,Supervisor,0
Dra. Giovanna Barbosa,Android 2.3,Restaurador,0
Giovanna Jesus,Android 1.0,Conferente de recebimento,0
Anthony Martins,Android 2.3.7,Conferente de recebimento,0
Maria Freitas,Android 4.3.1,Lanterneiro,0
Maria Clara Nascimento,Android 3.2.1,Agente de defesa sanitária,0
Yuri da Conceição,Android 1.0,Mãe social,0
Carolina Fernandes,Android 4.0,Publicitário,0
Renan Ribeiro,344393323054787,+55 11 0805-0896,1
Milena Almeida,377064636949886,0800 442 0594,1
Erick Mendes,Android 1.0,Cobrador de pedágio,0
Sr. Enzo Gabriel Silveira,Android 7.0,Caixa,0
Ryan Novaes,Android 4.0.4,Pedreiro,0
Theo Nascimento,3588881821275754,+55 11 0323-9986,1
Ian Mendes,Android 4.0.4,Cientista social,0
Sr. Juan Costela,Android 2.1,Armador,0
Camila Alves,4563648666843,+55 71 3548-3565,1
Sr. Yuri Porto,5418318370677750,(071) 1685 2980,1
Vitor Moreira,Android 4.1.1,Continuista,0
Maria Sophia Rocha,Android 4.0.3,Engenheiro de minas,0
Sabrina Campos,4719405438418,81 5009 3744,1
Cauã Correia,Android 4.1.1,Dublador,0
Danilo Nogueira,2485078846306294,(061) 4938 9231,1
João Miguel da Luz,Android 2.2.1,Treinador,0
Erick Teixeira,2623361327313473,+55 41 8127-8662,1
Gustavo Henrique Araújo,4418090184442068,51 5387 6479,1
Mariane Araújo,Android 3.1,Profissional de marketing,0
João Vitor Lima,Android 2.3,Jogador de futebol,0
Dra. Maria Vitória Correia,Android 2.3.6,Tecnólogo em automação industrial,0
Lorenzo Pereira,Android 4.1.1,Imunologista,0
Bárbara Fogaça,Android 3.1,Acupunturista,0
Davi Luiz Jesus,3582675286609176,41 7971-7192,1
Daniel Mendes,4239005485604692,+55 31 5772 2779,1
Alexia Mendes,Android 1.6,Guarda ou policial rodoviário,0
Mirella Barros,3560122962797005,(031) 6746-8462,1
Ana Viana,Android 10,Mãe social,0
Marcos Vinicius Araújo,344493191123258,+55 (041) 7507-7437,1
Enrico Oliveira,4797554017245221,11 1337 6710,1
Luiz Miguel Lopes,583131984432,0300-164-0121,1
Bruna Ferreira,Android 7.1.2,Técnico em segurança do trabalho,0
Alícia Carvalho,675955877070,51 4717 8878,1
Danilo Lima,Android 7.1,Terapeuta Holístico,0
Pedro Henrique da Mata,Android 7.1.2,Antropólogo,0
João Porto,Android 2.2.1,Piloto automobilístico,0
Lorena Martins,4195289802235263,(051) 8477-4450,1
Samuel Azevedo,4750446054360150,+55 31 5201-3902,1
Srta. Clarice das Neves,Android 5.1,Coordenador,0
João Gabriel Melo,Android 4.0.2,Fisioterapeuta,0
Vitória Farias,Android 3.2,Gestor público,0
Nathan Lopes,4394675516525334985,11 9038 7424,1
Gabrielly Rodrigues,Android 2.3.2,Coach,0
Srta. Natália Nunes,Android 2.2.2,Historiador,0
Sophie Pereira,4016681293371,+55 (021) 2865 8243,1
Thiago Rocha,4452634056033039,0800-451-3243,1
Elisa Cunha,Android 3.2.1,Ambientalista,0
Ryan Costela,Android 4.2.1,Historiador,0
Luiz Otávio Rocha,4468514619833761175,+55 81 5615 3339,1
Raul da Mota,502016414406,+55 (031) 1628-2566,1
Ana Nunes,4262584554730133,(021) 7787-0964,1
Theo Moraes,4722356391634404,+55 41 8861 2469,1
Sr. Pedro Lucas Silva,Android 3.2.1,Cambista,0
Fernando Nogueira,4633331715139206,0300 857 9069,1
Maria Sophia Martins,370013049738904,(071) 6442-4410,1
Cauã Moraes,4217992739686,+55 (071) 7088 6966,1
Juan Costa,Android 6.0,Tecnólogo em irrigação e drenagem,0
Evelyn Gomes,Android 3.2.5,Astrólogo,0
Dra. Alice Souza,Android 4.4.1,Torneiro mecânico,0
Luigi Nogueira,6011181836462376,11 4997-0170,1
Paulo Campos,564109652136,21 2759 6443,1
João Moreira,5535341544882922,0500-970-1776,1
Stephany Lopes,3594626259722872,(081) 8444 0604,1
Luiz Otávio Castro,Android 9,Ortopedista,0
Dra. Evelyn da Luz,Android 1.0,Tecnólogo em papel e celulose,0
Cauã Freitas,Android 4.0.3,Cartógrafo,0
Sofia das Neves,3591304557518813,+55 (084) 9661-2906,1
Vitor Hugo Vieira,Android 2.2,Balconista,0
Helena Nogueira,3573977133059162,+55 (041) 3269 5755,1
Luana Martins,Android 2.2.2,Patinador,0
Laís da Luz,Android 4.0.3,Ministro,0
Paulo Caldeira,4982761468555876,31 3836-9841,1
Dr. Fernando Monteiro,4655074779250013,51 1798 0920,1
Sofia Barbosa,630421058730,(061) 9987 6817,1
Sr. Rafael da Rocha,344382556282157,71 7078 4349,1
Valentina Vieira,4080650857182752505,(081) 9434-6239,1
Luana da Mata,6011034106688792,41 9715 3568,1
Dr. Benício Jesus,Android 3.2.3,Produtor fonográfico,0
Yago Fernandes,36311441875977,+55 71 5749 8675,1
Samuel Gonçalves,Android 5.1.1,Portuário,0
Luiz Miguel Carvalho,180099719170361,41 0479-0466,1
Rebeca Ramos,Android 5.0.2,Angiologista,0
João Miguel Costa,Android 10,Chapeiro,0
Renan Fogaça,4580941988422080,0800 689 6167,1
Alícia Vieira,630419790237,+55 (084) 1012-7408,1
Dr. Theo Rocha,346653317898574,0900 647 3874,1
Benjamin Porto,Android 3.2.3,Cameraman,0
Maysa da Rosa,Android 4.4.3,Coveiro/Sepultador,0
Bryan Gomes,4398894273394,51 5706 0045,1
Dr. Diogo Rodrigues,Android 4.1.1,Carteiro,0
Ana Júlia Costela,Android 4.2.2,Panfleteiro,0
Bruno Vieira,Android 3.1,Auditor,0
Luiz Felipe Fernandes,4477693661164037746,84 9093 3133,1
Luiz Felipe da Mata,6559589034381115,+55 (011) 6382 7912,1
Sr. Leonardo Souza,Android 3.2,Inspetor,0
Daniel Nunes,3504777156073502,+55 (041) 6382 3007,1
Pedro Lucas Santos,574163662657,71 5925-0558,1
Agatha Almeida,Android 1.6,Ambulante,0
Helena da Rosa,Android 5.0.1,Zootecnista,0
Maria Sophia Lopes,3544517121643423,0900-055-6932,1
Sr. Thales Caldeira,Android 11,Forneiro,0
Carolina Campos,Android 3.0,Cenotécnico,0
Bianca da Costa,Android 4.1,Manicure,0
Srta. Natália da Paz,Android 4.0.4,Síndico,0
Lorenzo das Neves,Android 5.0.1,Biólogo,0
Dr. Kaique Viana,213193856850603,(021) 9985 7720,1
Matheus Jesus,Android 2.2.3,Somelier,0
Srta. Maria Vitória Rezende,213136949523653,(071) 0076-7692,1
Olivia Caldeira,060474680877,+55 71 0804 5586,1
Calebe Lima,3598999725480102,+55 51 6261 2192,1
Sr. Heitor Peixoto,3539734802325173,0900 029 4541,1
Francisco da Conceição,Android 1.6,Profissional de recursos humanos,0
Melissa Mendes,2291596099573397,+55 51 0046 3608,1
Davi Lucas Farias,379972562961642,41 8343 3120,1
Enrico Moura,6527377732367027,(071) 1053 2414,1
Esther Peixoto,Android 2.3.2,Corretor de seguros,0
Isabella Ramos,4001356667959885815,+55 (041) 3028-5242,1
Mirella Martins,213138585088173,+55 (061) 5262-5900,1
Emanuella Nogueira,4887933481829408,31 1773 6546,1
Maysa Cunha,30019411142197,0300-807-6168,1
Rodrigo Nunes,Android 1.1,Instrutor,0
Joaquim Costela,Android 5.0.1,Engenheiro de produção agroindustrial,0
Eloah Moura,Android 2.2.1,Escoteiro,0
Isadora Duarte,Android 5.1.1,Corredor de atletismo,0
Natália Ferreira,4846416488588037,(021) 9500-6451,1
Cecília Duarte,3599958726128432,+55 (084) 9848-3162,1
Esther Santos,4557761909667798,+55 (021) 0490-1266,1
Ana Júlia Santos,4078119025791,61 0194 2195,1
Helena Silva,Android 10,Engenheiro civil,0
Melissa Nogueira,Android 2.1,Urologista,0
Srta. Raquel da Cunha,2718600736763018,51 6743 8694,1
Srta. Fernanda Campos,Android 4.2.1,Peão de rodeiro,0
Ana Julia Dias,4614539107916,0500 577 4085,1
João Vitor da Rosa,3598504132655567,84 5745-7420,1
Isaac Lima,Android 6.0.1,Consultor de moda,0
Laura Teixeira,Android 2.1,Petroleiro,0
Sophie Gomes,4139439950681417,51 6666 7038,1
Pedro Lucas Correia,4148602338485483,+55 (071) 4870 5453,1
Dr. Breno da Conceição,Android 7.0,Gerente de vendas,0
Eduardo da Mota,374902396082773,(071) 6423 3586,1
Thales Pires,Android 4.4.4,Boxeador,0
Luiz Felipe das Neves,3581687749983867,+55 41 5908-3457,1
Igor Fernandes,Android 2.2.3,Produtor editorial,0
Sr. Heitor Oliveira,4868110759911027,0900 272 7072,1
João Miguel da Mata,Android 5.0.2,Jogador de boliche,0
Sra. Isabelly Martins,4760290200836,(041) 1669 1657,1
Sra. Stephany Alves,347591584504500,0900 657 5417,1
Guilherme Sales,372064525057101,(061) 6137 4173,1
Antônio Pereira,373264242030535,81 6397-9613,1
Ana Laura Araújo,Android 4.0,Lenhador,0
Dr. Leonardo da Cunha,060452242161,+55 (051) 6390 8535,1
Larissa Azevedo,Android 3.2.2,Grafologista,0
Otávio Ramos,30138151867100,71 3956 4601,1
Pietra Souza,3505595118063869,(061) 2402-9916,1
Luiz Miguel Cardoso,4676156556643454891,71 4325 4855,1
Vitor Gabriel Teixeira,3522242583358222,+55 84 4833 6234,1
Júlia Gonçalves,4631826045800544,0800 421 1716,1
João Gabriel Fogaça,6011838829488862,(041) 9179-2424,1
Felipe Porto,4980135755228368,+55 (041) 4580 4092,1
João Peixoto,Android 3.2.3,Armador,0
Luiz Fernando Viana,36264584701510,+55 (011) 8403 7876,1
Davi Pereira,Android 4.0.3,Protético dentário,0
Isabella Viana,675920338034,41 0855 0058,1
Leandro Nascimento,36391057636129,+55 11 6757 9642,1
Sr. Noah da Mota,Android 4.2,Dançarino,0
Dr. Isaac Carvalho,2479335871220719,(084) 8886 7601,1
Stephany Aragão,4172932479715185,(031) 5872 6515,1
Pedro Henrique da Mota,378636226515448,+55 84 7857-2226,1
Luiz Otávio Moura,Android 4.0,Neurocirurgião,0
Diogo Silveira,5159994513887044,(011) 8031-5031,1
João Gabriel Pinto,Android 6.0.1,Guarda ou policial rodoviário,0
Júlia Pereira,30049272907883,(041) 1410-1389,1
Ana Sophia Cunha,30274234337934,(041) 5536 7477,1
Bryan da Rosa,4003338310994606,0900-926-9104,1
Dra. Alexia Moura,Android 4.2.1,Arquivista,0
Ana Vitória Campos,30395558415996,+55 (081) 8290 9886,1
Luna Almeida,Android 7.1,Policial militar,0
Luiza Pinto,Android 4.0.4,Comissário de bordo,0
Ana Clara Pires,Android 4.1.2,Psiquiatra,0
Diogo Martins,Android 2.3.5,Hematologista,0
Maria Cecília Moraes,3575557040400176,0300-253-3924,1
Maria Vitória da Mota,Android 4.2.2,Lamboteiro,0
Eduardo Lopes,Android 4.0.1,Técnico em agropecuária,0
Breno Santos,Android 3.2.6,Cardiologista,0
Yuri Nunes,Android 6.0,Otorrinolaringologista,0
Arthur Fogaça,3576775702173852,(061) 9962 0163,1
Dr. Rodrigo Rezende,2389451387228291,(081) 1742-3778,1
Luiz Gustavo Lopes,Android 4.2,Chargista,0
Vitor Monteiro,6011238347819864,0900 646 1632,1
Melissa Teixeira,4088458447242261,+55 51 9731 8688,1
Evelyn Monteiro,2292348077779839,+55 84 8737 7266,1
Alexia Ribeiro,Android 4.2.2,Químico farmacêutico,0
Maria Sophia da Mata,Android 5.1,Maitre,0
Isaac da Mota,Android 1.6,Tecnólogo em geoprocessamento,0
